Date,RON95,RON97,EURO 2 Diesel,EURO 5 Diesel,Remarks
30/03/17,2.13,2.41,2.11,2.21,Week 1
06/04/17,2.16,2.43,2.08,2.18,Week 2
13/04/17,2.24,2.52,2.16,2.26,Week 3
20/04/17,2.27,2.54,2.21,2.31,Week 4
27/04/17,2.21,2.49,2.14,2.24,Week 5
04/05/17,2.11,2.39,2.08,2.18,Week 6
11/05/17,2.01,2.29,1.95,2.05,Week 7
18/05/17,2.08,2.36,1.99,2.09,Week 8
25/05/17,2.12,2.40,2.03,2.13,Week 9
01/06/17,2.10,2.38,2.02,2.12,Week 10
08/06/17,2.05,2.31,1.94,2.04,Week 11
15/06/17,1.98,2.24,1.88,1.98,Week 12
22/06/17,1.91,2.17,1.88,1.98,Week 13
29/06/17,1.89,2.15,1.84,1.94,Week 14
06/07/17,1.93,2.19,1.91,2.01,Week 15
13/07/17,1.97,2.22,1.96,2.06,Week 16
20/07/17,1.97,2.22,1.96,2.06,Week 17
27/07/17,2.03,2.28,1.99,2.09,Week 18
03/08/17,2.07,2.32,2.05,2.15,Week 19
10/08/17,2.12,2.39,2.06,2.16,Week 20
17/08/17,2.15,2.43,2.04,2.14,Week 21
24/08/17,2.15,2.43,2.01,2.11,Week 22
31/08/17,2.16,2.44,2.04,2.14,Week 23
07/09/17,2.20,2.48,2.05,2.15,Week 24
14/09/17,2.21,2.52,2.14,2.24,Week 25
21/09/17,2.19,2.49,2.10,2.20,Week 26
28/09/17,2.16,2.46,2.12,2.22,Week 27
05/10/17,2.19,2.49,2.17,2.27,Week 28
12/10/17,2.16,2.46,2.10,2.20,Week 29
19/10/17,2.17,2.47,2.11,2.21,Week 30
26/10/17,2.20,2.50,2.13,2.23,Week 31
02/11/17,2.24,2.54,2.17,2.27,Week 32
09/11/17,2.31,2.60,2.20,2.30,Week 33
16/11/17,2.38,2.66,2.25,2.35,Week 34
23/11/17,2.30,2.58,2.23,2.33,Week 35
30/11/17,2.30,2.58,2.25,2.35,Week 36
07/12/17,2.29,2.57,2.21,2.31,Week 37
14/12/17,2.25,2.52,2.20,2.30,Week 38
21/12/17,2.27,2.54,2.23,2.33,Week 39
28/12/17,2.26,2.53,2.26,2.36,Week 40
04/01/18,2.29,2.56,2.32,2.42,Week 41
11/01/18,2.26,2.53,2.32,2.42,Week 42
18/01/18,2.30,2.57,2.32,2.42,Week 43
25/01/18,2.29,2.56,2.31,2.41,Week 44
01/02/18,2.31,2.58,2.34,2.44,Week 45
08/02/18,2.33,2.61,2.31,2.41,Week 46
15/02/18,2.23,2.50,2.19,2.29,Week 47
22/02/18,2.17,2.43,2.13,2.23,Week 48
